epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0127,3.80446,5.16811,4.77761,4.13217,0.00184,0.33333,0.00165,0.00069,0,0,0,0,3.3808,5.1274,4.11923,4.1588,2e-05,2e-05,2e-05
2,39.862,4.04597,4.95343,5.53176,4.16774,0.00183,0.33333,0.00161,0.00068,0,0,0,0,3.37995,5.12789,4.11978,4.15853,5.8812e-05,5.8812e-05,5.8812e-05
3,57.4505,4.11134,4.94037,4.76775,4.14723,0.00182,0.33333,0.00179,0.00071,0,0,0,0,3.37871,5.12802,4.12097,4.15803,9.604e-05,9.604e-05,9.604e-05
4,74.7592,4.5734,5.07701,4.82797,4.13185,0.00189,0.33333,0.0017,0.0007,0,0,0,0,3.37694,5.12753,4.12167,4.15708,0.000131684,0.000131684,0.000131684
5,92.6567,3.2918,4.7303,4.4817,4.13494,0.00184,0.33333,0.00186,0.00076,0,0,0,0,3.37498,5.12656,4.12219,4.15601,0.000165744,0.000165744,0.000165744
6,110.568,3.12809,4.86704,4.21759,4.13834,0.00191,0.33333,0.00141,0.00057,0,0,0,0,3.3727,5.12498,4.12238,4.15471,0.00019822,0.00019822,0.00019822
7,127.293,3.77469,4.503,4.33879,4.14295,0.00186,0.33333,0.00147,0.0006,0,0,0,0,3.36976,5.1226,4.12202,4.15301,0.000229112,0.000229112,0.000229112
8,144.244,2.82019,4.47771,4.02388,4.15475,0.00183,0.33333,0.00194,0.00077,0,0,0,0,3.36587,5.11908,4.12119,4.1508,0.00025842,0.00025842,0.00025842
9,161.939,4.27841,4.4186,4.55003,4.12031,0.0018,0.33333,0.00151,0.00061,0,0,0,0,3.36151,5.11452,4.11991,4.14824,0.000286144,0.000286144,0.000286144
10,179.365,3.5095,4.42673,4.46067,4.09473,0.00184,0.33333,0.0017,0.0006,0,0,0,0,3.35631,5.10865,4.11818,4.14514,0.000312284,0.000312284,0.000312284
11,196.651,3.60065,4.6555,4.14561,4.12799,0.00188,0.33333,0.00164,0.00065,0.00188,0.33333,0.00162,0.00049,3.34979,5.10077,4.11602,4.14125,0.00033684,0.00033684,0.00033684
12,213.677,4.44616,4.26752,4.53547,4.10922,0.00188,0.33333,0.00164,0.00065,0.00188,0.33333,0.00162,0.00049,3.34979,5.10077,4.11602,4.14125,0.000359812,0.000359812,0.000359812
13,231.553,2.80593,4.41089,4.41514,4.12986,0.00187,0.33333,0.00187,0.00075,0.00187,0.33333,0.00187,0.00056,3.34153,5.08911,4.11264,4.1362,0.0003812,0.0003812,0.0003812
14,249.292,3.72591,4.31479,3.9526,4.08868,0.00185,0.33333,0.00196,0.00098,0.00185,0.33333,0.00196,0.00059,3.33089,5.07252,4.1074,4.12966,0.000401004,0.000401004,0.000401004
15,267.039,3.53338,4.16541,3.87617,4.08714,0.00185,0.33333,0.00196,0.00098,0.00185,0.33333,0.00196,0.00059,3.33089,5.07252,4.1074,4.12966,0.000419224,0.000419224,0.000419224
16,284.144,2.59288,4.08778,4.08942,4.08995,0.00186,0.33333,0.00196,0.00097,0.00186,0.33333,0.00196,0.00059,3.32042,5.0548,4.09815,4.12289,0.00043586,0.00043586,0.00043586
17,301.816,3.79444,4.70612,5.08047,4.06512,0.00182,0.33333,0.00196,0.00097,0.00182,0.33333,0.00196,0.00059,3.31001,5.03584,4.08665,4.11586,0.000450912,0.000450912,0.000450912
18,319.339,3.6153,4.06225,4.7964,4.1368,0.00182,0.33333,0.00196,0.00097,0.00182,0.33333,0.00196,0.00059,3.31001,5.03584,4.08665,4.11586,0.00046438,0.00046438,0.00046438
19,336.238,3.86145,4.14545,4.11121,4.03955,0.00182,0.33333,0.00199,0.001,0.00182,0.33333,0.00199,0.0006,3.29418,5.00249,4.07408,4.10541,0.000476264,0.000476264,0.000476264
20,353.31,3.56782,3.55411,4.3128,4.02962,0.00182,0.33333,0.00199,0.001,0.00182,0.33333,0.00199,0.0006,3.29418,5.00249,4.07408,4.10541,0.000486564,0.000486564,0.000486564
21,370.902,3.80011,3.4172,3.902,4.01405,0.00178,0.33333,0.002,0.00099,0.00178,0.33333,0.002,0.00059,3.27918,4.96805,4.06543,4.09457,0.00049528,0.00049528,0.00049528
22,387.952,3.23311,3.97501,3.82845,3.99386,0.00178,0.33333,0.002,0.00099,0.00178,0.33333,0.002,0.00059,3.27918,4.96805,4.06543,4.09457,0.000502412,0.000502412,0.000502412
23,405.422,3.04059,3.60211,3.30811,4.09326,0.00175,0.33333,0.00202,0.001,0.00175,0.33333,0.00202,0.00061,3.27037,4.94492,4.04991,4.08343,0.00050796,0.00050796,0.00050796
24,422.966,2.08603,1.67456,6.4349,1.99928,0.00175,0.33333,0.00202,0.001,0.00175,0.33333,0.00202,0.00061,3.27037,4.94492,4.04991,4.08343,0.000511924,0.000511924,0.000511924
25,440.86,3.59128,3.22235,3.20768,4.07318,0.00174,0.33333,0.00213,0.00102,0.00174,0.33333,0.00213,0.00063,3.26545,4.93319,4.04408,4.07583,0.000514304,0.000514304,0.000514304
26,458.796,3.42005,3.2339,3.0776,3.89721,0.00174,0.33333,0.00213,0.00102,0.00174,0.33333,0.00213,0.00063,3.26545,4.93319,4.04408,4.07583,0.0005151,0.0005151,0.0005151
27,475.848,3.50784,3.9683,3.66658,4.0416,0.00174,0.33333,0.00213,0.00102,0.00174,0.33333,0.00213,0.00063,3.26545,4.93319,4.04408,4.07583,0.000514312,0.000514312,0.000514312
28,492.938,3.69764,3.42499,3.89828,3.95583,0.00177,0.33333,0.00207,0.00081,0.00177,0.33333,0.00207,0.0006,3.2646,4.93013,4.03346,4.06952,0.00051194,0.00051194,0.00051194
29,509.871,3.65269,2.64129,4.43246,4.08248,0.00177,0.33333,0.00207,0.00081,0.00177,0.33333,0.00207,0.0006,3.2646,4.93013,4.03346,4.06952,0.000507984,0.000507984,0.000507984
