epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.46236,0.99255,3.09558,4.60179,1.08997,0.48081,0.62828,0.518,0.46687,0.48081,0.62828,0.518,0.44916,0.57444,1.27415,2.52306,1.0708,2e-05,2e-05,2e-05
2,2.14816,1.1,2.97314,3.76755,1.17199,0.48499,0.33333,0.446,0.41587,0.48499,0.33333,0.446,0.39059,0.58178,1.28369,2.64297,1.05809,5.8812e-05,5.8812e-05,5.8812e-05
3,2.94906,1.12875,2.11618,3.85633,1.18858,0.88885,0.33333,0.48139,0.47108,0.88885,0.33333,0.48139,0.4281,0.52738,1.22352,4.64615,1.0108,9.604e-05,9.604e-05,9.604e-05
4,3.6929,2.9446,4.99325,9.87422,2.77246,0.87824,0.33333,0.45548,0.44616,0.87824,0.33333,0.45548,0.40527,0.50344,1.23424,4.33545,1.00439,0.000131684,0.000131684,0.000131684
5,4.45168,2.42394,3.3316,5.91829,2.20299,0.87272,0.33333,0.45783,0.44267,0.87272,0.33333,0.45783,0.41077,0.42433,1.25408,4.12126,0.98536,0.000165744,0.000165744,0.000165744
6,5.29881,1.12736,2.25552,4.10999,1.10106,1,0.59673,0.863,0.77354,1,0.59673,0.863,0.74011,0.53208,1.10016,7.01957,1.00135,0.00019822,0.00019822,0.00019822
7,6.14392,1.37919,1.79723,3.767,1.46558,0.89443,0.66667,0.863,0.76197,0.89443,0.66667,0.863,0.73027,0.51804,1.09378,3.81131,0.98961,0.000229112,0.000229112,0.000229112
8,6.86949,0.4334,0.77363,9.9834,0.52542,0.70511,0.66667,0.78875,0.66767,0.70511,0.66667,0.78875,0.64417,0.54179,1.09293,4.23108,1.00848,0.00025842,0.00025842,0.00025842
9,7.58878,1.20027,1.71015,3.50052,1.46123,0.92167,0.66667,0.71711,0.65189,0.92167,0.66667,0.71711,0.63526,0.67847,1.06194,5.51236,1.07782,0.000286144,0.000286144,0.000286144
10,8.33711,1.20479,1.72658,1.93012,1.16346,0.95112,0.66667,0.71214,0.63161,0.95112,0.66667,0.71214,0.63161,0.73941,0.9605,9.71667,1.0991,0.000312284,0.000312284,0.000312284
11,9.07513,1.16054,2.32227,2.25632,1.27273,0.71408,1,0.995,0.76361,0.71408,1,0.995,0.78781,0.97816,1.01926,3.878,1.22107,0.00033684,0.00033684,0.00033684
12,9.80093,0.52424,0.91773,8.96724,0.60676,0.71408,1,0.995,0.76361,0.71408,1,0.995,0.78781,0.97816,1.01926,3.878,1.22107,0.000359812,0.000359812,0.000359812
13,10.5738,0.88134,1.67106,2.1073,1.07839,0.94487,0.66667,0.78875,0.62749,0.94487,0.66667,0.78875,0.6301,0.97396,1.22406,3.08264,1.17218,0.0003812,0.0003812,0.0003812
14,11.2873,1.23136,1.12991,2.25764,1.18146,0.94754,0.66667,0.68975,0.57568,0.94754,0.66667,0.68975,0.57616,0.86716,1.57023,3.59596,1.15044,0.000401004,0.000401004,0.000401004
15,12.1183,1.12544,2.36714,2.21099,1.13467,0.94754,0.66667,0.68975,0.57568,0.94754,0.66667,0.68975,0.57616,0.86716,1.57023,3.59596,1.15044,0.000419224,0.000419224,0.000419224
16,12.7799,1.09134,2.06128,2.78704,1.28755,0.60326,1,0.83,0.64811,0.60326,1,0.83,0.67663,0.80576,1.62392,7.89956,1.13184,0.00043586,0.00043586,0.00043586
17,13.4976,1.07158,1.65543,1.7832,1.22439,0.69612,1,0.83,0.54928,0.69612,1,0.83,0.51732,1.29744,1.76163,4.20253,1.65248,0.000450912,0.000450912,0.000450912
18,14.188,1.17942,2.23162,1.77715,1.10482,0.69612,1,0.83,0.54928,0.69612,1,0.83,0.51732,1.29744,1.76163,4.20253,1.65248,0.00046438,0.00046438,0.00046438
19,14.9101,0.69464,1.05086,1.99087,1.02885,0.56729,0.66667,0.863,0.39933,0.56729,0.66667,0.863,0.35709,1.32721,1.44281,5.56451,1.43093,0.000476264,0.000476264,0.000476264
20,15.6133,0.87525,1.5548,1.74456,0.97491,0.56729,0.66667,0.863,0.39933,0.56729,0.66667,0.863,0.35709,1.32721,1.44281,5.56451,1.43093,0.000486564,0.000486564,0.000486564
21,16.3296,1.00414,1.23857,1.58868,1.04884,0.88004,1,0.995,0.64742,0.88004,1,0.995,0.69208,1.09053,1.37943,5.9029,1.31617,0.00049528,0.00049528,0.00049528
22,16.9828,1.42517,1.40697,2.90234,1.34584,0.88004,1,0.995,0.64742,0.88004,1,0.995,0.69208,1.09053,1.37943,5.9029,1.31617,0.000502412,0.000502412,0.000502412
